participant_id,gender,education,cue,response,response_position,response_level
1,male,high school,intelligence,Smart people,1,1
1,male,high school,intelligence,grades,2,1
1,male,high school,intelligence,tests,3,1
1,male,high school,intelligence,college,4,1
1,male,high school,intelligence,geniuses,5,1
2,male,high school,intelligence,books,1,1
2,male,high school,intelligence,IQ,2,1
2,male,high school,intelligence,problem-solving,3,1
2,male,high school,intelligence,chess,4,1
2,male,high school,intelligence,reading,5,1
3,male,high school,intelligence,scientists,1,1
3,male,high school,intelligence,Albert Einstein,2,1
3,male,high school,intelligence,brain games,3,1
3,male,high school,intelligence,math,4,1
3,male,high school,intelligence,physics,5,1
4,male,high school,intelligence,education,1,1
4,male,high school,intelligence,knowledge,2,1
4,male,high school,intelligence,success,3,1
4,male,high school,intelligence,thinking,4,1
4,male,high school,intelligence,strategy,5,1
5,male,high school,intelligence,computers,1,1
5,male,high school,intelligence,technology,2,1
5,male,high school,intelligence,inventions,3,1
5,male,high school,intelligence,innovation,4,1
5,male,high school,intelligence,Elon Musk,5,1
6,male,high school,intelligence,cleverness,1,1
6,male,high school,intelligence,school,2,1
6,male,high school,intelligence,study,3,1
6,male,high school,intelligence,logic puzzles,4,1
6,male,high school,intelligence,intelligence agencies,5,1
7,male,high school,intelligence,history,1,1
7,male,high school,intelligence,learning,2,1
7,male,high school,intelligence,professors,3,1
7,male,high school,intelligence,debate,4,1
7,male,high school,intelligence,philosophy,5,1
8,male,high school,intelligence,curiosity,1,1
8,male,high school,intelligence,artificial intelligence,2,1
8,male,high school,intelligence,research,3,1
8,male,high school,intelligence,discovery,4,1
8,male,high school,intelligence,coding,5,1
9,male,high school,intelligence,memory,1,1
9,male,high school,intelligence,concentration,2,1
9,male,high school,intelligence,analytical abilities,3,1
9,male,high school,intelligence,critical thinking,4,1
9,male,high school,intelligence,vocabulary,5,1
10,male,high school,intelligence,wisdom,1,1
10,male,high school,intelligence,understanding,2,1
10,male,high school,intelligence,insights,3,1
10,male,high school,intelligence,intelligence tests,4,1
10,male,high school,intelligence,high IQ clubs,5,1
11,male,high school,intelligence,Einstein,1,1
11,male,high school,intelligence,smart,2,1
11,male,high school,intelligence,brain,3,1
11,male,high school,intelligence,books,4,1
11,male,high school,intelligence,IQ,5,1
12,male,high school,intelligence,Sherlock Holmes,1,1
12,male,high school,intelligence,genius,2,1
12,male,high school,intelligence,problem-solving,3,1
12,male,high school,intelligence,mental,4,1
12,male,high school,intelligence,tests,5,1
13,male,high school,intelligence,IQ test,1,1
13,male,high school,intelligence,knowledge,2,1
13,male,high school,intelligence,reading,3,1
13,male,high school,intelligence,education,4,1
13,male,high school,intelligence,professor,5,1
14,male,high school,intelligence,smart,1,1
14,male,high school,intelligence,clever,2,1
14,male,high school,intelligence,innovative,3,1
14,male,high school,intelligence,tech,4,1
14,male,high school,intelligence,scientists,5,1
15,male,high school,intelligence,brain power,1,1
15,male,high school,intelligence,chess,2,1
15,male,high school,intelligence,intellectual,3,1
15,male,high school,intelligence,debate,4,1
15,male,high school,intelligence,scholar,5,1
16,male,high school,intelligence,good grades,1,1
16,male,high school,intelligence,university,2,1
16,male,high school,intelligence,knowledge,3,1
16,male,high school,intelligence,wisdom,4,1
16,male,high school,intelligence,learning,5,1
17,male,high school,intelligence,tech geniuses,1,1
17,male,high school,intelligence,inventors,2,1
17,male,high school,intelligence,wisdom,3,1
17,male,high school,intelligence,cleverness,4,1
17,male,high school,intelligence,strategy,5,1
18,male,high school,intelligence,books,1,1
18,male,high school,intelligence,education,2,1
18,male,high school,intelligence,high IQ,3,1
18,male,high school,intelligence,research,4,1
18,male,high school,intelligence,academic,5,1
19,male,high school,intelligence,thinking,1,1
19,male,high school,intelligence,smart people,2,1
19,male,high school,intelligence,analysis,3,1
19,male,high school,intelligence,brainy,4,1
19,male,high school,intelligence,mathematics,5,1
20,male,high school,intelligence,clever,1,1
20,male,high school,intelligence,genius,2,1
20,male,high school,intelligence,Einstein,3,1
20,male,high school,intelligence,puzzles,4,1
20,male,high school,intelligence,intelligence agency,5,1
21,male,high school,intelligence,1. Smart,1,1
21,male,high school,intelligence,IQ,2,1
21,male,high school,intelligence,genius,3,1
21,male,high school,intelligence,brainy,4,1
21,male,high school,intelligence,clever,5,1
22,male,high school,intelligence,2. Einstein,1,1
